 5.000,72.377, 0.208
 5.025,72.452, 0.217
 5.050,72.601, 0.225
 5.075,72.532, 0.235
 5.100,72.445, 0.244
 5.125,72.267, 0.253
 5.150,72.418, 0.262
 5.175,72.577, 0.271
 5.200,72.295, 0.280
 5.225,72.482, 0.289
 5.250,72.593, 0.297
 5.275,72.241, 0.306
 5.300,72.093, 0.315
 5.325,72.268, 0.324
 5.350,72.286, 0.333
 5.375,72.089, 0.342
 5.400,72.423, 0.351
 5.425,72.399, 0.360
 5.450,72.459, 0.369
 5.475,72.278, 0.378
 5.500,72.225, 0.388
 5.525,72.508, 0.397
 5.550,72.445, 0.407
 5.575,72.509, 0.416
 5.600,72.378, 0.424
 5.625,72.601, 0.435
 5.650,72.692, 0.446
 5.675,72.620, 0.455
 5.700,72.558, 0.465
 5.725,72.537, 0.474
 5.750,72.415, 0.484
 5.775,72.662, 0.494
 5.800,72.683, 0.504
 5.825,73.038, 0.513
 5.850,72.704, 0.523
 5.875,73.186, 0.533
 5.900,73.445, 0.543
 5.925,73.432, 0.552
 5.950,73.008, 0.562
 5.975,72.793, 0.572
 6.000,72.239, 0.581
 6.025,72.013, 0.591
 6.050,71.719, 0.600
 6.075,71.738, 0.609
 6.100,71.718, 0.619
 6.125,71.830, 0.628
 6.150,71.801, 0.638
 6.175,71.677, 0.647
 6.200,71.836, 0.656
 6.225,71.696, 0.665
 6.250,71.581, 0.674
 6.275,72.041, 0.683
 6.300,71.562, 0.692
 6.325,71.807, 0.701
 6.350,71.653, 0.710
 6.375,71.824, 0.718
 6.400,71.821, 0.727
 6.425,71.571, 0.735
 6.450,71.847, 0.743
 6.475,71.742, 0.752
 6.500,71.788, 0.760
 6.525,71.982, 0.770
 6.550,71.738, 0.779
 6.575,71.762, 0.788
 6.600,71.957, 0.796
 6.625,71.990, 0.805
 6.650,71.807, 0.813
 6.675,71.717, 0.821
 6.700,71.687, 0.829
 6.725,71.739, 0.839
 6.750,71.668, 0.848
 6.775,71.963, 0.857
 6.800,71.707, 0.866
 6.825,71.736, 0.874
 6.850,71.602, 0.883
 6.875,71.541, 0.893
 6.900,71.607, 0.902
 6.925,71.939, 0.912
 6.950,71.364, 0.921
 6.975,71.089, 0.931
 7.000,70.567, 0.939
 7.025,70.194, 0.948
 7.050,69.779, 0.958
 7.075,69.613, 0.967
 7.100,69.387, 0.976
 7.125,69.369, 0.985
 7.150,69.281, 0.994
 7.175,69.765, 1.003
 7.200,70.246, 1.012
 7.225,70.149, 1.021
 7.250,70.135, 1.030
 7.275,70.381, 1.040
 7.300,70.562, 1.049
 7.325,70.156, 1.059
 7.350,69.803, 1.068
 7.375,69.752, 1.808
 7.400,69.498, 1.817
 7.425,69.059, 1.827
 7.450,68.722, 1.837
 7.475,68.507, 1.848
 7.500,68.433, 1.858
 7.525,68.462, 1.869
 7.550,68.107, 1.879
 7.575,68.193, 1.889
 7.600,68.305, 1.899
 7.625,68.394, 1.909
 7.650,68.343, 1.919
 7.675,68.402, 1.930
 7.700,68.103, 1.939
 7.725,68.246, 1.949
 7.750,68.001, 1.960
 7.775,68.084, 1.970
 7.800,68.204, 1.980
 7.825,68.334, 1.990
 7.850,68.368, 2.001
 7.875,68.225, 2.011
 7.900,68.445, 2.021
 7.925,68.197, 2.031
 7.950,68.400, 2.042
 7.975,68.215, 2.052
 8.000,67.892, 2.062
 8.025,67.976, 2.072
 8.050,68.305, 2.082
 8.075,68.353, 2.093
 8.100,68.311, 2.103
 8.125,68.366, 2.113
 8.150,68.354, 2.123
 8.175,68.263, 2.132
 8.200,68.478, 2.142
 8.225,68.323, 2.154
 8.250,68.245, 2.165
 8.275,68.177, 2.175
 8.300,67.912, 2.184
 8.325,68.193, 2.193
 8.350,68.357, 2.202
 8.375,68.183, 2.212
 8.400,68.436, 2.221
 8.425,68.247, 2.233
 8.450,68.263, 2.244
 8.475,68.196, 2.254
 8.500,68.105, 2.264
 8.525,68.280, 2.274
 8.550,68.198, 2.284
 8.575,68.089, 2.294
 8.600,67.939, 2.304
 8.625,68.146,-2.785
 8.650,68.146,-2.772
 8.675,68.106,-2.758
 8.700,68.159,-2.745
 8.725,68.029,-2.732
