0,0.035,-0.05,1.004,0.618,0.069,0.56
25,0.036,-0.048,1.004,0.07,0.023,0.047
50,0.039,-0.047,1.002,0.677,0.07,-0.047
75,0.035,-0.046,1.004,0.187,0.117,0.793
100,0.034,-0.05,1.006,-0.047,0.047,0.373
125,0.035,-0.051,1.005,0.42,0.233,0.373
150,0.036,-0.05,1.005,0.887,0.117,0.91
175,0.035,-0.05,1.007,0.467,0.163,0.187
200,0.034,-0.047,1.004,0.77,-0.793,0.07
225,0.032,-0.051,1.006,1.143,-0.397,0.793
250,0.032,-0.051,1.007,1.213,-0.093,0.723
275,0.036,-0.05,1.004,1.05,-0.07,0.14
300,0.035,-0.049,1,0.723,-0.187,0.467
325,0.033,-0.049,1.004,0.957,-0.093,0.817
350,0.034,-0.053,1.007,1.19,0.257,1.167
375,0.036,-0.05,1.002,0.56,-0.117,0.28
400,0.033,-0.047,1.004,0.093,-0.163,0.583
425,0.037,-0.049,1.004,0.957,0.42,0.863
450,0.035,-0.049,1.005,-0.257,0.303,0.607
475,0.029,-0.053,1.004,0.14,0.257,0.21
500,0.033,-0.057,1,0.77,0.42,-0.583
525,0.032,-0.054,1.003,0.21,0.723,-1.89
550,0.021,-0.056,1.007,0.163,0.7,-5.227
575,0.006,-0.055,1.006,0.163,1.003,-8.517
600,-0.001,-0.06,1.009,0.327,1.657,-15.05
625,0.001,-0.063,1.002,0.537,2.193,-19.577
650,0,-0.059,1.005,-0.047,1.61,-24.873
675,0.005,-0.047,1.007,0.677,1.68,-28.77
700,0.01,-0.051,1.006,0.373,1.26,-32.713
725,0.012,-0.062,0.999,-1.05,0.163,-37.613
750,0.005,-0.061,1.005,-0.91,0.163,-42.513
775,0.001,-0.065,1.003,0.21,0.327,-46.013
800,0,-0.051,1.007,-0.257,0.747,-51.077
825,0.004,-0.045,1.014,-0.303,1.353,-56.257
850,-0.002,-0.035,1.012,0.7,3.243,-60.737
875,0.002,-0.04,1.013,-0.14,4.713,-65.497
900,0.007,-0.052,1.001,-0.513,3.547,-69.837
925,0.009,-0.047,1.004,-1.727,2.403,-75.25
950,0.017,-0.039,1.005,-1.167,2.1,-78.237
975,0.018,-0.028,1.008,-1.167,2.357,-79.823
1000,0.015,-0.026,1.007,-3.103,0.723,-82.063
1025,0.023,-0.034,1.005,-3.99,0.327,-84.163
1050,0.021,-0.035,1.006,-2.287,1.937,-84.233
1075,0.031,-0.04,1.006,-2.543,2.497,-85.727
1100,0.03,-0.034,1.008,-2.543,2.8,-87.5
1125,0.028,-0.032,1.008,-2.077,4.41,-87.92
1150,0.022,-0.033,1.003,-0.817,5.32,-89.11
1175,0.014,-0.029,1.011,-0.723,4.97,-90.207
1200,0.022,-0.033,1.001,-1.05,4.41,-91.77
1225,0.022,-0.029,1.005,-1.377,3.593,-92.307
1250,0.021,-0.025,1.007,-0.91,3.78,-93.567
